#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0S156|NUP53_CHATD  -          Nup35_RRM            PF05172.10   0.00033   19.3   0.0   0.00078   18.1   0.0   1.6   1   1   0   1   1   1   1 Nucleoporin NUP53 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=NUP53 PE=1 SV=2
tr|G0SAP2|G0SAP2_CHATD -          Nup35_RRM            PF05172.10   0.00066   18.3   1.1       1.3    7.7   0.0   3.9   4   1   0   4   4   4   1 Polyadenylate-binding protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0042990 PE=3 SV=1
tr|G0SFK3|G0SFK3_CHATD -          Nup35_RRM            PF05172.10   0.00074   18.2   0.0       4.3    6.1   0.0   3.5   2   1   1   3   3   3   0 Putative polyadenylated RNA protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0071140 PE=4 SV=1
tr|G0SE55|G0SE55_CHATD -          Nup35_RRM            PF05172.10     0.098   11.4   0.8        18    4.1   0.0   2.9   3   0   0   3   3   3   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0062490 PE=4 SV=1
tr|G0RZE2|G0RZE2_CHATD -          Nup35_RRM            PF05172.10      0.18   10.5   0.0      0.29    9.8   0.0   1.4   1   1   0   1   1   1   0 Putative cyclophilin protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0002650 PE=4 SV=1
tr|G0RZM8|G0RZM8_CHATD -          Nup35_RRM            PF05172.10      0.26   10.0   0.0       3.2    6.5   0.0   2.2   2   0   0   2   2   2   0 Splicing factor U2AF subunit OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0003520 PE=3 SV=1
tr|G0SE06|G0SE06_CHATD -          Nup35_RRM            PF05172.10      0.43    9.3   0.0      0.71    8.6   0.0   1.3   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0061980 PE=3 SV=1
tr|G0S111|G0S111_CHATD -          Nup35_RRM            PF05172.10      0.54    9.0   0.0       9.3    5.0   0.0   2.3   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0011950 PE=4 SV=1
tr|G0SFU9|G0SFU9_CHATD -          Nup35_RRM            PF05172.10      0.66    8.7   0.0         1    8.1   0.0   1.4   1   0   0   1   1   1   0 Putative ribosomal protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0072210 PE=3 SV=1
tr|G0SB58|G0SB58_CHATD -          Nup35_RRM            PF05172.10      0.68    8.7   0.0       1.8    7.3   0.0   1.7   1   0   0   1   1   1   0 UDP-glucose-glycoprotein glucosyltransferase-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0048990 PE=1 SV=1
tr|G0SCS2|G0SCS2_CHATD -          Nup35_RRM            PF05172.10      0.79    8.4   0.0        11    4.7   0.0   2.7   2   0   0   2   2   2   0 Multiple RNA-binding domain-containing protein 1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0058230 PE=3 SV=1
tr|G0S0F3|G0S0F3_CHATD -          Nup35_RRM            PF05172.10       1.4    7.7   0.0       2.3    6.9   0.0   1.3   1   0   0   1   1   1   0 RRM domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0009820 PE=4 SV=1
tr|G0SD31|G0SD31_CHATD -          Nup35_RRM            PF05172.10       1.6    7.5   0.2        35    3.1   0.0   2.4   2   1   0   2   2   2   0 AP-1 complex subunit mu-1-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0050630 PE=3 SV=1
tr|G0S9J4|G0S9J4_CHATD -          Nup35_RRM            PF05172.10       1.8    7.3   0.0         3    6.6   0.0   1.3   1   0   0   1   1   1   0 Putative poly(A) binding protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0046100 PE=4 SV=1
