#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0S2G1|ELYS_CHATD   -          elys                 -            3.9e-27   92.4   0.0   4.9e-27   92.1   0.0   1.0   1   0   0   1   1   1   1 Protein ELYS OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=ELYS PE=1 SV=1
tr|G0SG54|G0SG54_CHATD -          elys                 -              0.015   10.9  20.8      0.02   10.4  20.8   1.0   1   0   0   1   1   1   0 Origin recognition complex subunit 2 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0065080 PE=3 SV=1
tr|G0S9U0|G0S9U0_CHATD -          elys                 -               0.03    9.8   0.0      0.04    9.4   0.0   1.0   1   0   0   1   1   1   0 Putative guanine nucleotide-binding protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0047160 PE=1 SV=1
tr|G0RYB4|G0RYB4_CHATD -          elys                 -              0.045    9.3  21.7      0.05    9.1  21.7   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006090 PE=4 SV=1
tr|G0SF93|G0SF93_CHATD -          elys                 -               0.12    7.9   0.0      0.17    7.4   0.0   1.1   1   0   0   1   1   1   0 Periodic tryptophan protein 2-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0061240 PE=1 SV=1
tr|G0S514|G0S514_CHATD -          elys                 -               0.34    6.4  29.2      0.43    6.0  29.2   1.0   1   0   0   1   1   1   0 Phosphoinositide phospholipase C OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0023720 PE=3 SV=1
tr|G0RYB9|G0RYB9_CHATD -          elys                 -               0.35    6.3  22.0      0.53    5.7  22.0   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006140 PE=4 SV=1
tr|G0S1R7|G0S1R7_CHATD -          elys                 -               0.54    5.7  41.0      0.67    5.4  41.0   1.0   1   0   0   1   1   1   0 PARP-type domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0014560 PE=4 SV=1
tr|G0S1P9|G0S1P9_CHATD -          elys                 -                  1    4.7   8.2         1    4.8   8.2   1.0   1   0   0   1   1   1   0 60S ribosomal protein L24-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0014380 PE=1 SV=1
tr|G0RZ52|G0RZ52_CHATD -          elys                 -                1.1    4.6  18.2       1.2    4.6  18.2   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0001730 PE=1 SV=1
tr|G0SAR6|G0SAR6_CHATD -          elys                 -                1.2    4.5  67.3       1.9    3.9  67.3   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0043230 PE=4 SV=1
tr|G0S8F8|G0S8F8_CHATD -          elys                 -                1.7    4.0  28.7       2.5    3.5  28.7   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0029730 PE=3 SV=1
tr|G0RYA9|G0RYA9_CHATD -          elys                 -                2.1    3.7  42.8       2.4    3.5  42.8   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006040 PE=4 SV=1
