#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0S235|NDC1_CHATD   -          ndc1                 -           3.7e-132  440.3  13.9   1.2e-85  286.7   1.5   3.1   2   1   0   2   2   2   2 Nucleoporin NDC1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=NDC1 PE=3 SV=1
tr|G0S7N6|G0S7N6_CHATD -          ndc1                 -             0.0028   14.8   0.5     0.004   14.3   0.5   1.3   1   0   0   1   1   1   1 Probable kinetochore protein NUF2 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0036970 PE=3 SV=1
tr|G0S599|G0S599_CHATD -          ndc1                 -             0.0056   13.8   1.7    0.0073   13.4   1.7   1.1   1   0   0   1   1   1   1 Putative mitochondrial carrier protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0032760 PE=3 SV=1
tr|G0S5L0|G0S5L0_CHATD -          ndc1                 -              0.083   10.0   0.1      0.23    8.5   0.0   1.8   2   0   0   2   2   2   0 Nucleolar complex-associated protein 3 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0024630 PE=3 SV=1
tr|G0S8V6|G0S8V6_CHATD -          ndc1                 -               0.17    9.0   0.7      0.18    8.8   0.7   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0043570 PE=4 SV=1
tr|G0S591|G0S591_CHATD -          ndc1                 -               0.27    8.2   0.3      0.31    8.1   0.3   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0032680 PE=4 SV=1
tr|G0SB06|G0SB06_CHATD -          ndc1                 -               0.55    7.2   0.0      0.91    6.5   0.0   1.2   1   0   0   1   1   1   0 Protein transport protein SEC24 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0048450 PE=3 SV=1
tr|G0S0K7|G0S0K7_CHATD -          ndc1                 -               0.56    7.2   0.1      0.91    6.5   0.1   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0010360 PE=4 SV=1
tr|G0SC64|G0SC64_CHATD -          ndc1                 -               0.78    6.7   0.9      0.96    6.4   0.9   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0056090 PE=4 SV=1
tr|G0S312|G0S312_CHATD -          ndc1                 -                1.2    6.2   2.1       2.1    5.3   2.1   1.3   1   0   0   1   1   1   0 Putative transporter protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0019260 PE=3 SV=1
tr|G0S291|G0S291_CHATD -          ndc1                 -                1.4    5.9   0.0         2    5.4   0.0   1.1   1   0   0   1   1   1   0 Tubulin folding cofactor C-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0016400 PE=3 SV=1
