#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0S4T0|NU192_CHATD  -          nup205               -            3.6e-98  327.9  23.7   2.5e-46  156.0   3.5   4.8   4   2   0   4   4   4   3 Nucleoporin NUP192 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=NUP192 PE=1 SV=1
tr|G0S5N4|G0S5N4_CHATD -          nup205               -               0.03    9.8   0.3     0.051    9.0   0.3   1.3   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0024890 PE=4 SV=1
tr|G0S4S2|G0S4S2_CHATD -          nup205               -               0.23    6.8   4.0       0.3    6.5   4.0   1.0   1   0   0   1   1   1   0 Brix domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0023330 PE=4 SV=1
tr|G0S4I5|G0S4I5_CHATD -          nup205               -               0.41    6.0   1.8       0.5    5.7   0.2   1.9   2   0   0   2   2   2   0 Urb2 domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0022950 PE=4 SV=1
tr|G0SEU6|G0SEU6_CHATD -          nup205               -                0.8    5.1   0.1       1.6    4.1   0.1   1.4   1   0   0   1   1   1   0 Putative exocyst complex component sec10 protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0059750 PE=3 SV=1
tr|G0SBK9|G0SBK9_CHATD -          nup205               -                  1    4.7   0.7       1.5    4.1   0.7   1.1   1   0   0   1   1   1   0 RNA polymerase I-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0053950 PE=3 SV=1
tr|G0SGY5|G0SGY5_CHATD -          nup205               -                1.2    4.4   0.1       2.5    3.4   0.0   1.4   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0068010 PE=4 SV=1
tr|G0RZH6|G0RZH6_CHATD -          nup205               -                1.8    3.9   0.0       1.9    3.8   0.0   1.0   1   0   0   1   1   1   0 Histone H4 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0002990 PE=3 SV=1
tr|G0RYJ5|G0RYJ5_CHATD -          nup205               -                2.3    3.5   0.0       3.2    3.1   0.0   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006920 PE=4 SV=1
tr|G0S233|G0S233_CHATD -          nup205               -                2.4    3.5   0.6       3.5    2.9   0.6   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0015820 PE=4 SV=1
tr|G0SD82|G0SD82_CHATD -          nup205               -                2.5    3.5   1.5       3.1    3.1   1.5   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0059280 PE=4 SV=1
