#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0S235|NDC1_CHATD   -          Ndc1_Nup             PF09531.7   4.9e-184  612.1   0.0  5.5e-184  612.0   0.0   1.0   1   0   0   1   1   1   1 Nucleoporin NDC1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=NDC1 PE=3 SV=1
tr|G0S820|G0S820_CHATD -          Ndc1_Nup             PF09531.7     0.0077   13.7  14.8     0.012   13.1  14.8   1.2   1   0   0   1   1   1   1 Mitochondrial respiratory chain complexes assembly protein rca1-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0029080 PE=3 SV=1
tr|G0RYX9|G0RYX9_CHATD -          Ndc1_Nup             PF09531.7      0.052   11.0   3.7     0.053   11.0   3.7   1.1   1   0   0   1   1   1   0 Putative iron sulfur assembly protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0000960 PE=4 SV=1
tr|G0S732|G0S732_CHATD -          Ndc1_Nup             PF09531.7      0.061   10.8   0.9     0.096   10.1   0.9   1.3   1   0   0   1   1   1   0 Brix domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0035970 PE=4 SV=1
tr|G0S1C2|G0S1C2_CHATD -          Ndc1_Nup             PF09531.7      0.083   10.3  16.0      0.12    9.8  16.0   1.2   1   0   0   1   1   1   0 UBX domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0013080 PE=4 SV=1
tr|G0SAC5|G0SAC5_CHATD -          Ndc1_Nup             PF09531.7      0.086   10.3   0.8      0.14    9.6   0.8   1.5   1   1   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0041790 PE=4 SV=1
tr|G0S1K2|G0S1K2_CHATD -          Ndc1_Nup             PF09531.7       0.15    9.5   3.5      0.31    8.4   3.5   1.5   1   0   0   1   1   1   0 RING-CH-type domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0013900 PE=4 SV=1
tr|G0SGS9|G0SGS9_CHATD -          Ndc1_Nup             PF09531.7       0.18    9.2   0.0      0.16    9.4   0.0   1.2   1   0   0   1   1   1   0 Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST2 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0067430 PE=3 SV=1
tr|G0SI47|G0SI47_CHATD -          Ndc1_Nup             PF09531.7       0.19    9.1   2.5      0.27    8.6   2.5   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0074470 PE=4 SV=1
tr|G0S0T0|G0S0T0_CHATD -          Ndc1_Nup             PF09531.7       0.21    9.0   1.0      0.24    8.8   1.0   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0011120 PE=4 SV=1
tr|G0SFJ6|G0SFJ6_CHATD -          Ndc1_Nup             PF09531.7       0.24    8.8   3.9      0.26    8.7   3.9   1.0   1   0   0   1   1   1   0 SRP9-21 domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0071070 PE=4 SV=1
