#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0S381|AMO1_CHATD   -          nup2l1               -            1.8e-35  122.0  34.0   1.2e-25   89.7   1.3   3.2   1   1   2   3   3   3   2 Nucleoporin AMO1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=AMO1 PE=1 SV=1
tr|G0S2Y3|G0S2Y3_CHATD -          nup2l1               -            4.5e-05   21.9   6.9   0.00019   19.8   0.3   2.1   2   0   0   2   2   2   2 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0018920 PE=4 SV=1
tr|G0S108|G0S108_CHATD -          nup2l1               -              0.091   11.0   0.1      0.12   10.6   0.1   1.1   1   0   0   1   1   1   0 Pre-mRNA-splicing factor CWC24 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0011920 PE=3 SV=1
tr|G0SBH0|G0SBH0_CHATD -          nup2l1               -               0.13   10.5   0.2      0.17   10.1   0.2   1.1   1   0   0   1   1   1   0 Zinc finger domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0050240 PE=4 SV=1
tr|G0RY70|G0RY70_CHATD -          nup2l1               -               0.32    9.2   2.5      0.53    8.5   2.5   1.2   1   0   0   1   1   1   0 Putative cytoplasm protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0005640 PE=4 SV=1
tr|G0SGQ9|G0SGQ9_CHATD -          nup2l1               -               0.35    9.1   0.3      0.58    8.3   0.3   1.3   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0067230 PE=4 SV=1
tr|G0SD77|G0SD77_CHATD -          nup2l1               -               0.66    8.2  12.7      0.28    9.4   2.0   2.8   3   0   0   3   3   3   0 mRNA 3'-end-processing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0059230 PE=3 SV=1
tr|G0SC69|G0SC69_CHATD -          nup2l1               -                2.4    6.3   0.5       3.3    5.8   0.5   1.1   1   0   0   1   1   1   0 Putative splicing factor OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0056140 PE=4 SV=1
tr|G0SE68|G0SE68_CHATD -          nup2l1               -                4.8    5.3   2.3       6.2    4.9   2.3   1.1   1   0   0   1   1   1   0 C3H1-type domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0062660 PE=4 SV=1
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      hmm_profiles_from_msa/nup2l1.hmm
# Target file:     /Users/Andreas/Desktop/Project/Proteomes/masked/CTHE.fasta
# Option settings: hmmsearch --tblout proteomes_max_masked/CTHE/nup2l1.txt --max --cpu 8 hmm_profiles_from_msa/nup2l1.hmm /Users/Andreas/Desktop/Project/Proteomes/masked/CTHE.fasta 
# Current dir:     /Users/Andreas/Desktop/Project/compare_profiles_new_hmms
# Date:            Sun Sep 18 14:35:26 2022
# [ok]
