#                                                                         --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                  accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#          ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|Q9VCH5|NUP98_DROME          -          Nup96                PF12110.5      2e-74  250.6   7.6   2.6e-74  250.3   7.6   1.1   1   0   0   1   1   1   1 Nuclear pore complex protein Nup98-Nup96 OS=Drosophila melanogaster OX=7227 GN=Nup98-96 PE=1 SV=3
tr|Q7K2V9|Q7K2V9_DROME         -          Nup96                PF12110.5       0.46    9.8   0.0      0.78    9.1   0.0   1.3   1   0   0   1   1   1   0 Mevalonate kinase OS=Drosophila melanogaster OX=7227 GN=CG16804 PE=2 SV=1
tr|Q7KU87|Q7KU87_DROME         -          Nup96                PF12110.5        1.6    8.0   0.3       2.5    7.5   0.3   1.1   1   0   0   1   1   1   0 FI18828p1 OS=Drosophila melanogaster OX=7227 GN=Pura PE=2 SV=1
tr|Q8IPF3|Q8IPF3_DROME         -          Nup96                PF12110.5        2.7    7.3   0.0       3.1    7.1   0.0   1.1   1   0   0   1   1   1   0 Diuretic hormone 31, isoform C OS=Drosophila melanogaster OX=7227 GN=Dh31 PE=2 SV=1
tr|Q7KU88|Q7KU88_DROME         -          Nup96                PF12110.5        2.9    7.2   0.3       4.5    6.6   0.3   1.2   1   0   0   1   1   1   0 Puratrophin-1-like, isoform B OS=Drosophila melanogaster OX=7227 GN=Pura PE=4 SV=2
tr|M9PEF7|M9PEF7_DROME         -          Nup96                PF12110.5        3.8    6.8   0.3       6.3    6.1   0.3   1.2   1   0   0   1   1   1   0 Puratrophin-1-like, isoform D OS=Drosophila melanogaster OX=7227 GN=Pura PE=4 SV=1
tr|Q7KU89|Q7KU89_DROME         -          Nup96                PF12110.5          4    6.8   0.3       6.3    6.1   0.3   1.2   1   0   0   1   1   1   0 Puratrophin-1-like, isoform A OS=Drosophila melanogaster OX=7227 GN=Pura PE=4 SV=2
tr|Q9VLY5|Q9VLY5_DROME         -          Nup96                PF12110.5        6.7    6.1   0.0       9.5    5.5   0.0   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Drosophila melanogaster OX=7227 GN=Dmel\CG13793 PE=4 SV=3
tr|Q8MLQ0|Q8MLQ0_DROME         -          Nup96                PF12110.5        7.2    5.9   0.0       6.8    6.0   0.0   1.1   1   0   0   1   1   1   0 FI14118p OS=Drosophila melanogaster OX=7227 GN=HSPC300 PE=1 SV=1
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      hmm_profiles/PF12110.hmm
# Target file:     /Users/Andreas/Desktop/Project/Proteomes/masked/DMEL.fasta
# Option settings: hmmsearch --tblout proteomes_max_masked/DMEL/nup96.txt --max --cpu 8 hmm_profiles/PF12110.hmm /Users/Andreas/Desktop/Project/Proteomes/masked/DMEL.fasta 
# Current dir:     /Users/Andreas/Desktop/Project/compare_profiles
# Date:            Thu May 26 16:05:39 2022
# [ok]
