#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0SA56|MLP1_CHATD   -          TPR_MLP1_2           PF07926.9    5.2e-25   86.7   2.1   5.2e-25   86.7   2.1   5.4   5   2   0   5   5   5   1 Protein MLP1 homolog OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=MLP1 PE=3 SV=1
tr|G0RYC1|G0RYC1_CHATD -          TPR_MLP1_2           PF07926.9     0.0029   16.4  10.1     0.053   12.3   0.2   3.8   5   0   0   5   5   4   2 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006160 PE=4 SV=1
tr|G0S070|G0S070_CHATD -          TPR_MLP1_2           PF07926.9       0.46    9.3   0.8       1.1    8.0   0.1   1.8   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0008950 PE=3 SV=1
tr|G0SB14|G0SB14_CHATD -          TPR_MLP1_2           PF07926.9       0.77    8.5   1.1       2.9    6.7   1.1   2.0   1   0   0   1   1   1   0 SMC_N domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0048530 PE=4 SV=1
tr|G0S2H6|G0S2H6_CHATD -          TPR_MLP1_2           PF07926.9       0.83    8.4   0.2       1.8    7.4   0.2   1.5   1   0   0   1   1   1   0 Putative GTPase activating protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0017260 PE=4 SV=1
tr|G0S1T0|G0S1T0_CHATD -          TPR_MLP1_2           PF07926.9       0.91    8.3   0.1       1.7    7.5   0.1   1.3   1   0   0   1   1   1   0 Putative GTPase-activating protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0014700 PE=4 SV=1
tr|G0SF69|G0SF69_CHATD -          TPR_MLP1_2           PF07926.9        1.1    8.1   0.0       2.3    7.0   0.0   1.5   1   0   0   1   1   1   0 Vezatin domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0061000 PE=4 SV=1
tr|G0S4E5|G0S4E5_CHATD -          TPR_MLP1_2           PF07926.9        1.3    7.8   2.3       3.1    6.6   2.3   1.5   1   0   0   1   1   1   0 Exocyst complex component SEC15 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0022530 PE=3 SV=1
tr|G0S1U0|G0S1U0_CHATD -          TPR_MLP1_2           PF07926.9        3.2    6.5   0.1       4.3    6.1   0.1   1.3   1   0   0   1   1   1   0 V-SNARE coiled-coil homology domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0014800 PE=4 SV=1
tr|G0S2E8|G0S2E8_CHATD -          TPR_MLP1_2           PF07926.9        3.5    6.4   0.9        12    4.7   0.9   1.8   1   1   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0016980 PE=4 SV=1
tr|G0S7P7|G0S7P7_CHATD -          TPR_MLP1_2           PF07926.9        4.6    6.0   0.9       7.2    5.4   0.9   1.2   1   0   0   1   1   1   0 Sensitive to high expression protein 9, mitochondrial OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0037090 PE=3 SV=1
tr|G0S5N8|G0S5N8_CHATD -          TPR_MLP1_2           PF07926.9        4.7    6.0   0.4        11    4.8   0.1   1.8   2   0   0   2   2   2   0 Conserved oligomeric Golgi complex subunit 2 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0024930 PE=3 SV=1
tr|G0S2Z4|G0S2Z4_CHATD -          TPR_MLP1_2           PF07926.9        4.9    5.9   0.1        27    3.5   0.0   1.6   1   1   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0019070 PE=4 SV=1
tr|G0S694|G0S694_CHATD -          TPR_MLP1_2           PF07926.9        5.7    5.7   0.1       6.2    5.6   0.1   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0025940 PE=4 SV=1
