#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0SA56|MLP1_CHATD   -          TPR_MLP1_2           PF07926.9    3.4e-38  129.3  32.8   3.4e-38  129.3  32.8  19.9   7   4  12  19  19  13   4 Protein MLP1 homolog OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=MLP1 PE=3 SV=1
tr|G0SDF5|G0SDF5_CHATD -          TPR_MLP1_2           PF07926.9    0.00091   18.0  27.0      0.01   14.6  23.5   2.5   1   1   1   2   2   2   1 Putative nuclear migration protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0051600 PE=4 SV=1
tr|G0S1H1|G0S1H1_CHATD -          TPR_MLP1_2           PF07926.9     0.0021   16.8  69.6       0.1   11.4   3.4   4.1   1   1   2   3   3   3   1 GRIP domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0013580 PE=4 SV=1
tr|G0RYC1|G0RYC1_CHATD -          TPR_MLP1_2           PF07926.9      0.013   14.3   1.0     0.013   14.3   1.0   6.7   4   1   3   7   7   5   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006160 PE=4 SV=1
tr|G0S5N8|G0S5N8_CHATD -          TPR_MLP1_2           PF07926.9      0.025   13.3   0.6     0.056   12.2   0.1   1.8   2   0   0   2   2   1   0 Conserved oligomeric Golgi complex subunit 2 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0024930 PE=3 SV=1
tr|G0S1T0|G0S1T0_CHATD -          TPR_MLP1_2           PF07926.9       0.03   13.1  15.5    0.0062   15.3   6.7   2.6   2   1   0   2   2   2   0 Putative GTPase-activating protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0014700 PE=4 SV=1
tr|G0S2E8|G0S2E8_CHATD -          TPR_MLP1_2           PF07926.9      0.039   12.7  35.0      0.13   11.0  14.1   2.7   1   1   1   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0016980 PE=4 SV=1
tr|G0SB24|G0SB24_CHATD -          TPR_MLP1_2           PF07926.9      0.058   12.2 228.6     0.042   12.6  21.2  12.5   4   3   5  10  10  10   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0048630 PE=4 SV=1
tr|G0S7F2|G0S7F2_CHATD -          TPR_MLP1_2           PF07926.9      0.074   11.8   6.5       1.3    7.8   1.2   2.4   2   0   0   2   2   2   0 t-SNARE coiled-coil homology domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0027930 PE=4 SV=1
tr|G0SB79|G0SB79_CHATD -          TPR_MLP1_2           PF07926.9      0.082   11.7   5.5      0.16   10.8   5.5   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0049200 PE=4 SV=1
tr|G0SAC2|G0SAC2_CHATD -          TPR_MLP1_2           PF07926.9      0.094   11.5   9.2      0.28    9.9   9.2   1.8   1   0   0   1   1   1   0 Protein kinase domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0041750 PE=4 SV=1
tr|G0S653|G0S653_CHATD -          TPR_MLP1_2           PF07926.9       0.15   10.8  32.4    0.0096   14.7  14.4   3.6   2   1   2   4   4   3   0 Csm1 domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0034220 PE=4 SV=1
tr|G0S888|G0S888_CHATD -          TPR_MLP1_2           PF07926.9       0.16   10.8  17.2      0.36    9.6   6.6   2.1   1   1   1   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0037960 PE=4 SV=1
tr|G0RYH2|G0RYH2_CHATD -          TPR_MLP1_2           PF07926.9       0.16   10.7   0.1      0.16   10.7   0.1   2.9   2   1   0   2   2   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006680 PE=4 SV=1
tr|G0S2U6|G0S2U6_CHATD -          TPR_MLP1_2           PF07926.9       0.19   10.5  12.0      0.26   10.1   4.7   2.2   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0018530 PE=3 SV=1
tr|G0SCQ0|G0SCQ0_CHATD -          TPR_MLP1_2           PF07926.9       0.22   10.3   3.7      0.14   10.9   0.2   2.2   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0058010 PE=4 SV=1
tr|G0S1Y0|G0S1Y0_CHATD -          TPR_MLP1_2           PF07926.9       0.23   10.2  46.0    0.0061   15.3  24.3   2.6   2   1   1   3   3   2   0 Putative calcium ion binding protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0015240 PE=4 SV=1
tr|G0S7E8|G0S7E8_CHATD -          TPR_MLP1_2           PF07926.9       0.24   10.2  43.3     0.071   11.9  17.2   2.7   1   1   1   2   2   2   0 Putative tropomyosin protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0027890 PE=4 SV=1
tr|G0S695|G0S695_CHATD -          TPR_MLP1_2           PF07926.9       0.24   10.1   2.0      0.49    9.2   2.0   1.5   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0025950 PE=4 SV=1
tr|G0S9K9|G0S9K9_CHATD -          TPR_MLP1_2           PF07926.9       0.27   10.0  11.1      0.19   10.5   7.3   2.3   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0046260 PE=4 SV=1
tr|G0SH76|G0SH76_CHATD -          TPR_MLP1_2           PF07926.9       0.31    9.8   0.3       1.2    7.9   0.3   2.0   1   0   0   1   1   1   0 BAR domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0069000 PE=4 SV=1
