#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0S7F3|GLE1_CHATD   -          GLE1                 PF07817.10     2e-42  143.8   0.0   2.8e-42  143.4   0.0   1.1   1   0   0   1   1   1   1 mRNA export factor GLE1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=GLE1 PE=1 SV=1
tr|G0SBK1|G0SBK1_CHATD -          GLE1                 PF07817.10     0.047   11.6   5.2      0.85    7.5   0.1   3.7   2   1   2   4   4   4   0 Histidine kinase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0053860 PE=4 SV=1
tr|G0SCC1|G0SCC1_CHATD -          GLE1                 PF07817.10      0.37    8.7   0.0      0.49    8.3   0.0   1.1   1   0   0   1   1   1   0 3-hydroxyanthranilate 3,4-dioxygenase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=BNA1 PE=3 SV=1
tr|G0RZZ0|G0RZZ0_CHATD -          GLE1                 PF07817.10       1.2    7.0   0.0       1.6    6.6   0.0   1.1   1   0   0   1   1   1   0 Putative pre-mRNA splicing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0008120 PE=3 SV=1
tr|G0S5V3|G0S5V3_CHATD -          GLE1                 PF07817.10       1.8    6.5   0.0       3.6    5.5   0.0   1.4   1   0   0   1   1   1   0 Putative heat shock protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0033740 PE=3 SV=1
tr|G0S5P1|G0S5P1_CHATD -          GLE1                 PF07817.10       2.3    6.1   0.0       3.7    5.4   0.0   1.2   1   0   0   1   1   1   0 Protein PNS1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0024960 PE=3 SV=1
tr|G0S916|G0S916_CHATD -          GLE1                 PF07817.10         6    4.7   0.0        10    4.0   0.0   1.2   1   0   0   1   1   1   0 Endoplasmic reticulum chaperone BiP OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0044200 PE=3 SV=1
tr|G0S9G9|G0S9G9_CHATD -          GLE1                 PF07817.10       7.2    4.5   0.0        11    3.8   0.0   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0045850 PE=4 SV=1
tr|G0S2F0|G0S2F0_CHATD -          GLE1                 PF07817.10       8.8    4.2   0.1        14    3.5   0.1   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0017000 PE=4 SV=1
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      hmm_profiles/PF07817.hmm
# Target file:     /Users/Andreas/Desktop/Project/Proteomes/masked/CTHE.fasta
# Option settings: hmmsearch --tblout proteomes_max_masked/CTHE/gle1.txt --max --cpu 8 hmm_profiles/PF07817.hmm /Users/Andreas/Desktop/Project/Proteomes/masked/CTHE.fasta 
# Current dir:     /Users/Andreas/Desktop/Project/compare_profiles
# Date:            Thu Sep 15 13:17:34 2022
# [ok]
