#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0S7F3|GLE1_CHATD   -          gle1                 -              4e-71  238.5  19.4     4e-59  198.9   0.0   3.0   2   1   1   3   3   3   3 mRNA export factor GLE1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=GLE1 PE=1 SV=1
tr|G0S0R8|G0S0R8_CHATD -          gle1                 -            0.00015   18.8  20.5   0.00018   18.5  20.5   1.1   1   0   0   1   1   1   1 Septin-type G domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0011000 PE=3 SV=1
tr|G0S5L2|G0S5L2_CHATD -          gle1                 -            0.00036   17.6  30.0   0.00068   16.7  30.0   1.3   1   0   0   1   1   1   1 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0024650 PE=4 SV=1
tr|G0S164|G0S164_CHATD -          gle1                 -             0.0012   15.8  18.6    0.0012   15.8  18.6   1.7   2   0   0   2   2   1   1 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0012490 PE=4 SV=1
tr|G0SAN7|G0SAN7_CHATD -          gle1                 -             0.0021   15.1  14.5    0.0023   14.9  14.5   1.1   1   0   0   1   1   1   1 DASH complex subunit duo1-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0042930 PE=1 SV=1
tr|G0SF48|G0SF48_CHATD -          gle1                 -              0.004   14.1  20.9     0.005   13.8  20.9   1.1   1   0   0   1   1   1   1 RNA polymerase II transcription factor B subunit 3 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0060790 PE=1 SV=1
tr|G0S6S6|G0S6S6_CHATD -          gle1                 -             0.0068   13.3   8.6    0.0072   13.3   8.6   1.1   1   0   0   1   1   1   1 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0035440 PE=4 SV=1
tr|G0S7C8|G0S7C8_CHATD -          gle1                 -             0.0096   12.9  58.7     0.016   12.1  58.7   1.2   1   0   0   1   1   1   1 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0036390 PE=3 SV=1
tr|G0S8X2|G0S8X2_CHATD -          gle1                 -              0.016   12.1  50.8      0.03   11.2  50.8   1.3   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0043750 PE=3 SV=1
tr|G0S2P0|G0S2P0_CHATD -          gle1                 -              0.017   12.0  22.6      0.03   11.2  22.6   1.3   1   0   0   1   1   1   0 Zn(2)-C6 fungal-type domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0017920 PE=4 SV=1
tr|G0SDU7|G0SDU7_CHATD -          gle1                 -              0.024   11.5  28.8    0.0028   14.6  16.8   2.1   2   0   0   2   2   2   0 Zinc finger domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0053050 PE=4 SV=1
tr|G0SBT4|G0SBT4_CHATD -          gle1                 -              0.027   11.4  23.7     0.039   10.9  23.7   1.2   1   0   0   1   1   1   0 Putative GTPase activating protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0054710 PE=4 SV=1
tr|G0RZN2|G0RZN2_CHATD -          gle1                 -              0.028   11.3  25.2     0.042   10.7  25.2   1.3   1   0   0   1   1   1   0 Transcriptional activator HAP2 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0003560 PE=3 SV=1
tr|G0RY00|G0RY00_CHATD -          gle1                 -               0.05   10.5  56.4      0.13    9.1  56.4   1.6   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0004900 PE=4 SV=1
tr|G0S4S2|G0S4S2_CHATD -          gle1                 -              0.065   10.1  26.0     0.088    9.7  26.0   1.1   1   0   0   1   1   1   0 Brix domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0023330 PE=4 SV=1
tr|G0SGI0|G0SGI0_CHATD -          gle1                 -              0.095    9.6   5.3      0.14    9.0   5.3   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0066400 PE=4 SV=1
tr|G0SFM1|G0SFM1_CHATD -          gle1                 -              0.097    9.5  18.7      0.15    8.9  18.7   1.2   1   0   0   1   1   1   0 C2H2-type domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0071340 PE=4 SV=1
