#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0S6T0|POM33_CHATD  -          UPF0121              PF03661.10   6.8e-30  102.9   7.6     9e-30  102.4   7.6   1.0   1   0   0   1   1   1   1 Nucleoporin POM33 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=POM33 PE=3 SV=1
tr|G0S534|G0S534_CHATD -          UPF0121              PF03661.10       0.1   10.6   0.3      0.19    9.7   0.3   1.4   1   0   0   1   1   1   0 GDP-mannose transporter OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0023930 PE=3 SV=1
tr|G0S535|G0S535_CHATD -          UPF0121              PF03661.10         3    5.8   0.1         7    4.6   0.1   1.6   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0023940 PE=3 SV=1
tr|G0SGG3|G0SGG3_CHATD -          UPF0121              PF03661.10       3.1    5.7   0.2       4.8    5.1   0.2   1.3   1   1   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0066230 PE=4 SV=1
tr|G0S3E8|G0S3E8_CHATD -          UPF0121              PF03661.10       3.6    5.5   4.2       1.3    7.0   0.2   2.1   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0020760 PE=4 SV=1
tr|G0SF60|G0SF60_CHATD -          UPF0121              PF03661.10       3.9    5.4   0.1       5.3    5.0   0.1   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0060910 PE=4 SV=1
tr|G0SCW1|G0SCW1_CHATD -          UPF0121              PF03661.10       4.2    5.3   2.2       4.8    5.1   0.0   2.2   2   0   0   2   2   2   0 Probable lysosomal cobalamin transporter OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0058570 PE=3 SV=1
tr|G0RZ76|G0RZ76_CHATD -          UPF0121              PF03661.10       4.6    5.2   0.2       8.3    4.3   0.2   1.3   1   0   0   1   1   1   0 Zn(2)-C6 fungal-type domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0001980 PE=4 SV=1
tr|G0S738|G0S738_CHATD -          UPF0121              PF03661.10       5.6    4.9   0.0       8.9    4.2   0.0   1.2   1   0   0   1   1   1   0 C-terminal domain kinase-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0036030 PE=3 SV=1
tr|G0S0J1|G0S0J1_CHATD -          UPF0121              PF03661.10       6.9    4.6   0.1        15    3.5   0.1   1.5   1   0   0   1   1   1   0 TRP_N domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0010200 PE=3 SV=1
tr|G0SBD5|G0SBD5_CHATD -          UPF0121              PF03661.10       7.1    4.6   0.2        11    3.9   0.2   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0049870 PE=4 SV=1
tr|G0SFH1|G0SFH1_CHATD -          UPF0121              PF03661.10       9.3    4.2   0.1        22    2.9   0.1   1.6   1   0   0   1   1   1   0 Membrane protein (Ptm1)-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0070800 PE=3 SV=1
tr|G0SDJ1|G0SDJ1_CHATD -          UPF0121              PF03661.10       9.5    4.1   0.0        14    3.6   0.0   1.2   1   0   0   1   1   1   0 Putative ribosomal protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0051970 PE=3 SV=1
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      hmm_profiles/PF03661.hmm
# Target file:     /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta
# Option settings: hmmsearch --tblout proteomes_max_unmasked/CTHE/krh2.txt --max --cpu 8 hmm_profiles/PF03661.hmm /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta 
# Current dir:     /Users/Andreas/Desktop/Project/compare_profiles
# Date:            Thu Sep 15 16:16:31 2022
# [ok]
