#                                                                         --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                  accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#          ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|Q7ZU29|NUP93_DANRE          -          Nic96                PF04097.11    2e-165  553.2   0.3  2.5e-165  552.8   0.3   1.0   1   0   0   1   1   1   1 Nuclear pore complex protein Nup93 OS=Danio rerio OX=7955 GN=dye PE=2 SV=1
tr|Q1LV08|Q1LV08_DANRE         -          Nic96                PF04097.11  3.1e-165  552.5   0.3  3.9e-165  552.2   0.3   1.0   1   0   0   1   1   1   1 Nuclear pore complex protein Nup93 OS=Danio rerio OX=7955 GN=nup93 PE=1 SV=1
tr|A0A2R8QHF8|A0A2R8QHF8_DANRE -          Nic96                PF04097.11   5.2e-77  261.1   0.3   7.2e-77  260.7   0.3   1.0   1   0   0   1   1   1   1 Nuclear pore complex protein Nup93 OS=Danio rerio OX=7955 GN=nup93 PE=1 SV=1
tr|Q1LY92|Q1LY92_DANRE         -          Nic96                PF04097.11       0.6    9.9   0.1       2.7    7.7   0.0   1.8   2   0   0   2   2   2   0 Similar to Xab2 protein OS=Danio rerio OX=7955 GN=xab2 PE=1 SV=1
tr|A0A2R8QGU9|A0A2R8QGU9_DANRE -          Nic96                PF04097.11      0.92    9.3   7.8       1.7    8.4   0.1   3.6   2   1   1   4   4   4   0 Uncharacterized protein OS=Danio rerio OX=7955 GN=ift140 PE=4 SV=1
tr|F1QG20|F1QG20_DANRE         -          Nic96                PF04097.11       2.3    8.0   5.0       3.9    7.2   0.1   3.0   1   1   2   3   3   3   0 Intraflagellar transport 140 homolog (Chlamydomonas) OS=Danio rerio OX=7955 GN=ift140 PE=4 SV=2
tr|A0A2R8QQQ9|A0A2R8QQQ9_DANRE -          Nic96                PF04097.11         3    7.6   5.7       3.9    7.2   0.1   3.1   1   1   1   2   2   2   0 WD_REPEATS_REGION domain-containing protein OS=Danio rerio OX=7955 GN=ift140 PE=4 SV=1
tr|B0V0U6|B0V0U6_DANRE         -          Nic96                PF04097.11       3.4    7.4   0.0         4    7.1   0.0   1.2   1   0   0   1   1   1   0 URB2 ribosome biogenesis homolog OS=Danio rerio OX=7955 GN=urb2 PE=4 SV=1
tr|E7FAN0|E7FAN0_DANRE         -          Nic96                PF04097.11       4.1    7.1   0.0       7.2    6.3   0.0   1.3   1   0   0   1   1   1   0 C2 domain-containing protein OS=Danio rerio OX=7955 GN=cc2d1a PE=1 SV=1
tr|Q5RGI2|Q5RGI2_DANRE         -          Nic96                PF04097.11       4.1    7.1   0.1       6.1    6.6   0.1   1.1   1   0   0   1   1   1   0 Nuclear pore complex protein OS=Danio rerio OX=7955 GN=nup107 PE=1 SV=1
tr|F1R1Z4|F1R1Z4_DANRE         -          Nic96                PF04097.11       6.9    6.4   0.5       8.8    6.0   0.5   1.2   1   0   0   1   1   1   0 Mcf.2 cell line-derived-transforming sequence-like b (Fragment) OS=Danio rerio OX=7955 GN=mcf2lb PE=4 SV=1
tr|F1QQN4|F1QQN4_DANRE         -          Nic96                PF04097.11       9.1    6.0   0.0       9.4    5.9   0.0   1.0   1   0   0   1   1   1   0 Leucine-rich repeat-containing 51 OS=Danio rerio OX=7955 GN=lrrc51 PE=1 SV=1
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      hmm_profiles/PF04097.hmm
# Target file:     /Users/Andreas/Desktop/Project/Proteomes/masked/DRER.fasta
# Option settings: hmmsearch --tblout proteomes_max_masked/DRER/nup93.txt --max --cpu 8 hmm_profiles/PF04097.hmm /Users/Andreas/Desktop/Project/Proteomes/masked/DRER.fasta 
# Current dir:     /Users/Andreas/Desktop/Project/compare_profiles
# Date:            Thu May 26 16:07:31 2022
# [ok]
