#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0S7R3|POM34_CHATD  -          mug31                -            6.9e-50  168.0   5.6   6.9e-50  168.0   5.6   2.7   2   2   0   2   2   2   1 Nucleoporin POM34 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=POM34 PE=3 SV=2
tr|G0SGM3|G0SGM3_CHATD -          mug31                -                1.4    7.0   2.3       3.9    5.6   2.3   1.7   1   0   0   1   1   1   0 Putative transcription factor OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0066850 PE=4 SV=1
tr|G0SH98|G0SH98_CHATD -          mug31                -                1.5    6.9   0.0       2.5    6.2   0.0   1.3   1   0   0   1   1   1   0 FAD-binding PCMH-type domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0069240 PE=4 SV=1
tr|G0SDE9|G0SDE9_CHATD -          mug31                -                  2    6.5   8.7      0.88    7.7   1.2   2.3   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0051540 PE=4 SV=1
tr|G0S1U6|G0S1U6_CHATD -          mug31                -                2.3    6.3   0.0       5.3    5.1   0.0   1.5   1   0   0   1   1   1   0 Alpha-1,6-mannosyltransferase-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0014860 PE=3 SV=1
tr|G0SBT1|G0SBT1_CHATD -          mug31                -                3.5    5.7   7.8       6.2    4.9   7.8   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0054680 PE=4 SV=1
tr|G0SCI1|G0SCI1_CHATD -          mug31                -                3.6    5.7   2.2        22    3.1   0.1   2.4   2   0   0   2   2   2   0 MFS domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0057310 PE=3 SV=1
tr|G0SGS9|G0SGS9_CHATD -          mug31                -                4.1    5.5   2.3       5.6    5.1   2.3   1.3   1   0   0   1   1   1   0 Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST2 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0067430 PE=3 SV=1
tr|G0S8P1|G0S8P1_CHATD -          mug31                -                4.2    5.5   4.0         6    5.0   4.0   1.1   1   0   0   1   1   1   0 HpcH_HpaI domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0039830 PE=4 SV=1
tr|G0SCB1|G0SCB1_CHATD -          mug31                -                4.2    5.5   7.7       4.9    5.3   7.7   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0056590 PE=4 SV=1
tr|G0S7L9|G0S7L9_CHATD -          mug31                -                4.7    5.3   0.1       7.5    4.7   0.1   1.2   1   0   0   1   1   1   0 Mitochondrial fission process protein 1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0036800 PE=3 SV=1
