#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0SA56|MLP1_CHATD   -          mtor                 -           8.8e-177  588.9  21.7  1.7e-176  588.0  21.7   1.4   1   1   0   1   1   1   1 Protein MLP1 homolog OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=MLP1 PE=3 SV=1
tr|G0SB14|G0SB14_CHATD -          mtor                 -              0.029   10.0   3.9     0.041    9.6   3.9   1.1   1   0   0   1   1   1   0 SMC_N domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0048530 PE=4 SV=1
tr|G0S4V1|G0S4V1_CHATD -          mtor                 -              0.085    8.5   7.7     0.057    9.1   6.3   1.3   1   1   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0031770 PE=4 SV=1
tr|G0SBB4|G0SBB4_CHATD -          mtor                 -              0.087    8.5   2.9      0.12    8.0   2.9   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0049620 PE=4 SV=1
tr|G0S2F0|G0S2F0_CHATD -          mtor                 -              0.091    8.4   0.7      0.12    8.0   0.7   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0017000 PE=4 SV=1
tr|G0S070|G0S070_CHATD -          mtor                 -               0.19    7.3   0.3      0.26    6.9   0.3   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0008950 PE=3 SV=1
tr|G0S5N8|G0S5N8_CHATD -          mtor                 -               0.29    6.7   0.1      0.35    6.5   0.1   1.0   1   0   0   1   1   1   0 Conserved oligomeric Golgi complex subunit 2 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0024930 PE=3 SV=1
tr|G0SEN4|G0SEN4_CHATD -          mtor                 -                0.3    6.7   0.4      0.33    6.5   0.4   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0064370 PE=3 SV=1
tr|G0S8W7|G0S8W7_CHATD -          mtor                 -               0.49    6.0   4.7      0.62    5.6   4.7   1.0   1   0   0   1   1   1   0 Peroxisomal membrane protein PEX14 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0043690 PE=3 SV=1
tr|G0SEV4|G0SEV4_CHATD -          mtor                 -                  1    4.9   0.1       1.4    4.5   0.1   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0059830 PE=4 SV=1
tr|G0S9B4|G0S9B4_CHATD -          mtor                 -                2.2    3.8   0.9       2.9    3.4   0.9   1.0   1   0   0   1   1   1   0 FtsJ domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0045220 PE=3 SV=1
tr|G0SFT8|G0SFT8_CHATD -          mtor                 -                2.8    3.5   7.1       2.6    3.6   1.6   2.0   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0072100 PE=4 SV=1
tr|G0S7P7|G0S7P7_CHATD -          mtor                 -                3.9    3.0   0.8       5.1    2.6   0.8   1.0   1   0   0   1   1   1   0 Sensitive to high expression protein 9, mitochondrial OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0037090 PE=3 SV=1
tr|G0S3Q3|G0S3Q3_CHATD -          mtor                 -                7.9    2.0   1.6        16    1.0   1.6   1.3   1   1   0   1   1   1   0 F-box domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0030230 PE=4 SV=1
tr|G0S2Z4|G0S2Z4_CHATD -          mtor                 -                8.3    1.9   0.5        12    1.3   0.5   1.2   1   1   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0019070 PE=4 SV=1
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      hmm_profiles_from_msa/mtor.hmm
# Target file:     /Users/Andreas/Desktop/Project/Proteomes/masked/CTHE.fasta
# Option settings: hmmsearch --tblout proteomes_max_masked/CTHE/mtor.txt --max --cpu 8 hmm_profiles_from_msa/mtor.hmm /Users/Andreas/Desktop/Project/Proteomes/masked/CTHE.fasta 
# Current dir:     /Users/Andreas/Desktop/Project/compare_profiles_new_hmms
# Date:            Sun Sep 18 14:37:18 2022
# [ok]
