#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0S4T0|NU192_CHATD  -          Nup192               PF11894.5          0 1527.5   0.0         0 1527.3   0.0   1.0   1   0   0   1   1   1   1 Nucleoporin NUP192 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=NUP192 PE=1 SV=1
tr|G0S2F0|G0S2F0_CHATD -          Nup192               PF11894.5       0.32    6.8   4.0      0.38    6.5   4.0   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0017000 PE=4 SV=1
tr|G0S9G2|G0S9G2_CHATD -          Nup192               PF11894.5       0.42    6.4   0.2      0.58    5.9   0.2   1.1   1   0   0   1   1   1   0 MYND-type zinc finger protein samB OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0045770 PE=3 SV=1
tr|G0S4I1|G0S4I1_CHATD -          Nup192               PF11894.5       0.68    5.7   0.1       1.5    4.6   0.1   1.5   1   0   0   1   1   1   0 Putative sister chromatid cohesion protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0022910 PE=4 SV=1
tr|G0RZL3|G0RZL3_CHATD -          Nup192               PF11894.5          1    5.1   0.6       1.1    5.0   0.6   1.1   1   0   0   1   1   1   0 ATP synthase subunit 4 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0003360 PE=3 SV=1
tr|G0S6K8|G0S6K8_CHATD -          Nup192               PF11894.5        1.5    4.6   0.7       1.8    4.3   0.7   1.0   1   0   0   1   1   1   0 Putative vacuolar-protein sorting-associated protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0026570 PE=4 SV=1
tr|G0SAY6|G0SAY6_CHATD -          Nup192               PF11894.5        1.6    4.4   0.3       2.3    4.0   0.3   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0048250 PE=4 SV=1
tr|G0S4I5|G0S4I5_CHATD -          Nup192               PF11894.5        1.7    4.4   0.5        15    1.2   0.1   2.1   2   0   0   2   2   2   0 Urb2 domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0022950 PE=4 SV=1
tr|G0S186|G0S186_CHATD -          Nup192               PF11894.5        2.4    3.9   0.2       2.7    3.7   0.2   1.1   1   0   0   1   1   1   0 Magnesium transporter OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0012710 PE=3 SV=1
tr|G0RYG4|G0RYG4_CHATD -          Nup192               PF11894.5        2.4    3.9   0.0       3.6    3.3   0.0   1.1   1   0   0   1   1   1   0 RNA helicase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006600 PE=3 SV=1
tr|G0S352|G0S352_CHATD -          Nup192               PF11894.5        3.1    3.5   0.1       5.6    2.7   0.1   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0019680 PE=4 SV=1
tr|G0S8G2|G0S8G2_CHATD -          Nup192               PF11894.5        3.1    3.5   0.1       3.9    3.2   0.1   1.0   1   0   0   1   1   1   0 Thiosulfate sulfurtransferase-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0029770 PE=4 SV=1
tr|G0SGW7|G0SGW7_CHATD -          Nup192               PF11894.5        3.6    3.3   0.1       4.9    2.9   0.1   1.1   1   0   0   1   1   1   0 Putative late golgi protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0067830 PE=1 SV=1
tr|G0SHB1|G0SHB1_CHATD -          Nup192               PF11894.5        3.7    3.3   0.2       6.5    2.5   0.2   1.3   1   0   0   1   1   1   0 Eukaryotic translation initiation factor 3 subunit A OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=TIF32 PE=3 SV=1
tr|G0SF69|G0SF69_CHATD -          Nup192               PF11894.5        3.9    3.2   0.0       4.9    2.9   0.0   1.2   1   0   0   1   1   1   0 Vezatin domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0061000 PE=4 SV=1
tr|G0SGK3|G0SGK3_CHATD -          Nup192               PF11894.5          4    3.2   0.1       6.1    2.6   0.1   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0066640 PE=4 SV=1
tr|G0S629|G0S629_CHATD -          Nup192               PF11894.5        5.2    2.8   0.0       8.1    2.2   0.0   1.2   1   0   0   1   1   1   0 Putative ARF guanine-nucleotide exchange factor OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0033970 PE=4 SV=1
tr|G0S4X4|G0S4X4_CHATD -          Nup192               PF11894.5        5.6    2.7   0.0       7.7    2.2   0.0   1.2   1   0   0   1   1   1   0 HSM3_N domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0032000 PE=4 SV=1
tr|G0SEL8|G0SEL8_CHATD -          Nup192               PF11894.5        5.8    2.6   0.2       7.4    2.3   0.2   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0064200 PE=3 SV=1
tr|G0S1I9|G0S1I9_CHATD -          Nup192               PF11894.5          7    2.4   2.1       9.3    2.0   2.1   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0013760 PE=4 SV=1
tr|G0S1L7|G0S1L7_CHATD -          Nup192               PF11894.5        9.1    2.0   0.1        11    1.7   0.1   1.1   1   0   0   1   1   1   0 Putative multidrug transporter protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0014050 PE=4 SV=1
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      hmm_profiles/PF11894.hmm
# Target file:     /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta
# Option settings: hmmsearch --tblout proteomes_max_unmasked/CTHE/nup205.txt --max --cpu 8 hmm_profiles/PF11894.hmm /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta 
# Current dir:     /Users/Andreas/Desktop/Project/compare_profiles
# Date:            Thu Sep 15 16:14:54 2022
# [ok]
